Wikidata ID,Context,Context link,Wikidata Label
Q311627,p-adic integers,https://emilyriehl.github.io/files/context.pdf#page=19,P-adic number
Q3489713,p-adic solenoid,https://emilyriehl.github.io/files/context.pdf#page=19,Solenoid (mathematics)
Q1442189,natural,https://emilyriehl.github.io/files/context.pdf#page=19,Natural transformation
Q752487,dual vector space,https://emilyriehl.github.io/files/context.pdf#page=19,Dual space
Q1425985,preorder,https://emilyriehl.github.io/files/context.pdf#page=23,Preorder
Q474715,poset,https://emilyriehl.github.io/files/context.pdf#page=23,PartialOrderedSet
Q33401,Russell's paradox,https://emilyriehl.github.io/files/context.pdf#page=24,Russell's paradox
Q420725,small,https://emilyriehl.github.io/files/context.pdf#page=24,Small
Q77887,von Neumann hierarchy,https://emilyriehl.github.io/files/context.pdf#page=24,Von Neumann universe
Q1948412,hom-set,https://emilyriehl.github.io/files/context.pdf#page=25,MorphisM
Q189112,isomorphic,https://emilyriehl.github.io/files/context.pdf#page=25,Isomorphism class
Q189112,isomorphism,https://emilyriehl.github.io/files/context.pdf#page=25,Isomorphism class
Q104864167,slice category,https://emilyriehl.github.io/files/context.pdf#page=26,Slice category
Q6899873,monic,https://emilyriehl.github.io/files/context.pdf#page=29,Monic
Q297152,epi,https://emilyriehl.github.io/files/context.pdf#page=29,EPI
Q7333617,right inverse,https://emilyriehl.github.io/files/context.pdf#page=30,Right inverse
Q6516970,left inverse,https://emilyriehl.github.io/files/context.pdf#page=30,Left inverse
Q17502105,infimum,https://emilyriehl.github.io/files/context.pdf#page=31,Infimum and supremum
Q864475,functoriality,https://emilyriehl.github.io/files/context.pdf#page=31,Functor
Q746083,homotopy invariant,https://emilyriehl.github.io/files/context.pdf#page=32,Homotopy
Q622825,clustering algorithm,https://emilyriehl.github.io/files/context.pdf#page=34,Cluster Analysis
Q864475,covariant functor,https://emilyriehl.github.io/files/context.pdf#page=35,Functor
Q864475,bifunctor,https://emilyriehl.github.io/files/context.pdf#page=37,Functor
Q1780005,comma category,https://emilyriehl.github.io/files/context.pdf#page=40,Comma category
Q1195852,center of a group,https://emilyriehl.github.io/files/context.pdf#page=40,Center (group theory)
Q522216,commutator subgroup,https://emilyriehl.github.io/files/context.pdf#page=40,Commutator subgroup
Q621542,commutative square,https://emilyriehl.github.io/files/context.pdf#page=42,Commutative diagram
Q5051825,decategorification,https://emilyriehl.github.io/files/context.pdf#page=46,Categorification
Q5422217,extranatural transformation,https://emilyriehl.github.io/files/context.pdf#page=46,Extranatural transformation
Q237107,full,https://emilyriehl.github.io/files/context.pdf#page=48,Full
Q438562,global,https://emilyriehl.github.io/files/context.pdf#page=49,Global
Q541563,full embedding,https://emilyriehl.github.io/files/context.pdf#page=49,Subcategory
Q5161408,connected category,https://emilyriehl.github.io/files/context.pdf#page=51,Connected category
Q2291918,skeletal category,https://emilyriehl.github.io/files/context.pdf#page=52,Skeleton (category theory)
Q2291918,skeleton,https://emilyriehl.github.io/files/context.pdf#page=52,Skeleton (category theory)
Q344864,stabilizer,https://emilyriehl.github.io/files/context.pdf#page=52,Stabilization
Q190995,essentially,https://emilyriehl.github.io/files/context.pdf#page=53,Essence
Q5399579,essential image,https://emilyriehl.github.io/files/context.pdf#page=53,Essential range
Q1386213,algebra for an endofunctor,https://emilyriehl.github.io/files/context.pdf#page=62,F-algebra
Q1442189,vertical composition,https://emilyriehl.github.io/files/context.pdf#page=63,Natural transformation
Q1442189,horizontal composition,https://emilyriehl.github.io/files/context.pdf#page=63,Natural transformation
Q1442189,whiskering,https://emilyriehl.github.io/files/context.pdf#page=64,Natural transformation
Q21199,natural numbers,https://emilyriehl.github.io/files/context.pdf#page=68,Natural numbers
Q1417809,universal property,https://emilyriehl.github.io/files/context.pdf#page=69,Universal property
Q320577,Yoneda embedding,https://emilyriehl.github.io/files/context.pdf#page=77,Yoneda lemma
Q21121474,the,https://emilyriehl.github.io/files/context.pdf#page=80,The
Q386320,universal element,https://emilyriehl.github.io/files/context.pdf#page=80,Representable functor
Q4907764,bilinear,https://emilyriehl.github.io/files/context.pdf#page=81,Bilinear
Q13416298,evaluation map,https://emilyriehl.github.io/files/context.pdf#page=83,Initial topology
Q48975267,quotient,https://emilyriehl.github.io/files/context.pdf#page=91,Group-scheme action
Q189061,cell complex,https://emilyriehl.github.io/files/context.pdf#page=91,CW complex
Q1139111,gluing,https://emilyriehl.github.io/files/context.pdf#page=91,Quotient space (topology)
Q864475,constant functor,https://emilyriehl.github.io/files/context.pdf#page=92,Functor
Q1850712,cocone,https://emilyriehl.github.io/files/context.pdf#page=92,Cone (category theory)
Q5450158,finest,https://emilyriehl.github.io/files/context.pdf#page=95,The Finest
Q5051852,terminal category,https://emilyriehl.github.io/files/context.pdf#page=96,Category of small categories
Q1224487,equalizer,https://emilyriehl.github.io/files/context.pdf#page=96,Equaliser (mathematics)
Q1397439,fiber product,https://emilyriehl.github.io/files/context.pdf#page=97,Fiber product
Q2243424,idempotent,https://emilyriehl.github.io/files/context.pdf#page=106,Idempotent (ring theory)
Q3055409,split idempotent,https://emilyriehl.github.io/files/context.pdf#page=106,Karoubi envelope
Q7241053,preserve,https://emilyriehl.github.io/files/context.pdf#page=108,Preserve
Q120429,reflect,https://emilyriehl.github.io/files/context.pdf#page=108,Reflecting
Q1322614,cocontinuous functor,https://emilyriehl.github.io/files/context.pdf#page=117,Limit (category theory)
Q1322614,continuous functor,https://emilyriehl.github.io/files/context.pdf#page=117,Limit (category theory)
Q2844249,kernel pair,https://emilyriehl.github.io/files/context.pdf#page=121,Regular category
Q130998,equivalence relation,https://emilyriehl.github.io/files/context.pdf#page=121,EquivalenceRelation
Q1076611,lim inf,https://emilyriehl.github.io/files/context.pdf#page=131,Limit inferior and limit superior
Q1076611,lim sup,https://emilyriehl.github.io/files/context.pdf#page=131,Limit inferior and limit superior
Q5449247,filtered colimit,https://emilyriehl.github.io/files/context.pdf#page=132,Filtered category
Q1292333,free vector space,https://emilyriehl.github.io/files/context.pdf#page=135,Free module
Q30701870,formal sum,https://emilyriehl.github.io/files/context.pdf#page=135,Formal sum
Q357858,adjunction,https://emilyriehl.github.io/files/context.pdf#page=136,Adjoint functors
Q357823,adjunct,https://emilyriehl.github.io/files/context.pdf#page=136,Adjunct
Q223683,transpose,https://emilyriehl.github.io/files/context.pdf#page=136,Transpose
Q1128678,group completion,https://emilyriehl.github.io/files/context.pdf#page=139,Grothendieck group
Q16858946,restriction of scalars,https://emilyriehl.github.io/files/context.pdf#page=140,Restriction of scalars
Q16858946,extension of scalars,https://emilyriehl.github.io/files/context.pdf#page=140,Restriction of scalars
Q1630568,monadic adjunction,https://emilyriehl.github.io/files/context.pdf#page=140,Monad (category theory)
Q163875,cardinal arithmetic,https://emilyriehl.github.io/files/context.pdf#page=158,Cardinal numbers
Q251307,localization,https://emilyriehl.github.io/files/context.pdf#page=160,Localization
Q4672496,accessible functor,https://emilyriehl.github.io/files/context.pdf#page=170,Accessible category
Q34010,Haskell,https://emilyriehl.github.io/files/context.pdf#page=174,Haskell language
Q1579914,maybe monad,https://emilyriehl.github.io/files/context.pdf#page=175,Monad (functional programming)
Q27948,list monad,https://emilyriehl.github.io/files/context.pdf#page=176,List (abstract data type)
Q106671513,ultrafilter monad,https://emilyriehl.github.io/files/context.pdf#page=176,Ultrafilter lemma
Q10564851,kernel operator,https://emilyriehl.github.io/files/context.pdf#page=178,Closure operator
Q5051859,category of algebras,https://emilyriehl.github.io/files/context.pdf#page=180,Category of commutative rings
Q1000660,homomorphism of algebras,https://emilyriehl.github.io/files/context.pdf#page=180,Algebra over a field
Q1630568,monadic functor,https://emilyriehl.github.io/files/context.pdf#page=187,Monad (category theory)
Q915906,group presentation,https://emilyriehl.github.io/files/context.pdf#page=189,Presentation of a group
Q5140810,split coequalizer,https://emilyriehl.github.io/files/context.pdf#page=190,Coequaliser
Q2143621,elementary topos,https://emilyriehl.github.io/files/context.pdf#page=197,Mathematical topo
Q25036778,chain homotopy equivalence,https://emilyriehl.github.io/files/context.pdf#page=226,Glossary of algebraic topology
Q5251702,deformation,https://emilyriehl.github.io/files/context.pdf#page=227,Deformation (mathematics)
Q115221345,geometric realization,https://emilyriehl.github.io/files/context.pdf#page=235,Geometric realization
Q1945014,unit object,https://emilyriehl.github.io/files/context.pdf#page=239,Monoidal category
