Wikidata ID,name,comment
P101,FIELD_OF_WORK,bad target
P1056,PRODUCT_MATERIAL_OR_SERVICE_PRODUCED_OR_PROVIDED,
P11279,IS_A_NUMBER_OF,
P12322,UNDERLYING_STRUCTURE,
P12457,IS_INVARIANT_UNDER,
P1269,FACET_OF,
P1312,HAS_FACET_POLYTOPE,
P1322,DUAL_TO,
P138,NAMED_AFTER,actually okay
P1382,PARTIALLY_COINCIDENT_WITH,
P144,BASED_ON,
P1535,USED_BY,
P155,FOLLOWS,
P1552,HAS_CHARACTERISTIC,
P1557,MANIFESTATION_OF,
P156,FOLLOWED_BY,
P1568,DEFINITION_DOMAIN,
P1571,CODOMAIN,
P1678,HAS_VERTEX_FIGURE,
P1851,INPUT_SET,
P1889,DIFFERENT_FROM,
P2283,USES,
P2354,HAS_LIST,bad target
P2384,STATEMENT_DESCRIBES,
P2396,IMAGE_OF_FUNCTION,
P2578,IS_THE_STUDY_OF,mixed bag
P2579,STUDIED_IN,mixed bag
P2670,HAS_PART,
P279,SUBCLASS_OF,
P2820,CARDINALITY_OF_THIS_SET,
P31,INSTANCE_OF,
P3113,DOES_NOT_HAVE_PART,
P360,IS_A_LIST_OF,bad source
P361,PART_OF,
P366,HAS_USE,
P4510,DESCRIBES_A_PROJECT_THAT_USES,bad source
P460,SAID_TO_BE_THE_SAME_AS,
P461,OPPOSITE_OF,
P4934,CALCULATED_FROM,
P527,HAS_PART,
P5869,MODEL_ITEM,
P6477,DOES_NOT_HAVE_CHARACTERISTIC,
P737,INFLUENCED_BY,actually okay
P7719,GENERALIZATION_OF,
P8864,IDENTITY_ELEMENT,
P8865,MATHEMATICAL_INVERSE,
P8866,HAS_OPERATOR,
P921,MAIN_SUBJECT,mixed bag
